id,date_time,user,owner,identifier,version,event,description,created_at,updated_at
76940,2020-07-15 13:46:52 UTC,UserName1@example.com,"","","",1,Any old text2999,2020-07-15 13:46:52 UTC,2020-07-15 13:46:52 UTC
76939,2020-07-15 13:46:52 UTC,UserName1@example.com,"","","",1,Any old text2998,2020-07-15 13:46:52 UTC,2020-07-15 13:46:52 UTC
76938,2020-07-15 13:46:52 UTC,UserName1@example.com,"","","",1,Any old text2997,2020-07-15 13:46:52 UTC,2020-07-15 13:46:52 UTC
76937,2020-07-15 13:46:52 UTC,UserName1@example.com,"","","",1,Any old text2996,2020-07-15 13:46:52 UTC,2020-07-15 13:46:52 UTC
76936,2020-07-15 13:46:52 UTC,UserName1@example.com,"","","",1,Any old text2995,2020-07-15 13:46:52 UTC,2020-07-15 13:46:52 UTC
76935,2020-07-15 13:46:52 UTC,UserName1@example.com,"","","",1,Any old text2994,2020-07-15 13:46:52 UTC,2020-07-15 13:46:52 UTC
76934,2020-07-15 13:46:52 UTC,UserName1@example.com,"","","",1,Any old text2993,2020-07-15 13:46:52 UTC,2020-07-15 13:46:52 UTC
76933,2020-07-15 13:46:52 UTC,UserName1@example.com,"","","",1,Any old text2992,2020-07-15 13:46:52 UTC,2020-07-15 13:46:52 UTC
76932,2020-07-15 13:46:52 UTC,UserName1@example.com,"","","",1,Any old text2991,2020-07-15 13:46:52 UTC,2020-07-15 13:46:52 UTC
76931,2020-07-15 13:46:52 UTC,UserName1@example.com,"","","",1,Any old text2990,2020-07-15 13:46:52 UTC,2020-07-15 13:46:52 UTC
76930,2020-07-15 13:46:52 UTC,UserName1@example.com,"","","",1,Any old text2989,2020-07-15 13:46:52 UTC,2020-07-15 13:46:52 UTC
76929,2020-07-15 13:46:52 UTC,UserName1@example.com,"","","",1,Any old text2988,2020-07-15 13:46:52 UTC,2020-07-15 13:46:52 UTC
76928,2020-07-15 13:46:52 UTC,UserName1@example.com,"","","",1,Any old text2987,2020-07-15 13:46:52 UTC,2020-07-15 13:46:52 UTC
76927,2020-07-15 13:46:52 UTC,UserName1@example.com,"","","",1,Any old text2986,2020-07-15 13:46:52 UTC,2020-07-15 13:46:52 UTC
76926,2020-07-15 13:46:52 UTC,UserName1@example.com,"","","",1,Any old text2985,2020-07-15 13:46:52 UTC,2020-07-15 13:46:52 UTC
76925,2020-07-15 13:46:52 UTC,UserName1@example.com,"","","",1,Any old text2984,2020-07-15 13:46:52 UTC,2020-07-15 13:46:52 UTC
76924,2020-07-15 13:46:52 UTC,UserName1@example.com,"","","",1,Any old text2983,2020-07-15 13:46:52 UTC,2020-07-15 13:46:52 UTC
76923,2020-07-15 13:46:52 UTC,UserName1@example.com,"","","",1,Any old text2982,2020-07-15 13:46:52 UTC,2020-07-15 13:46:52 UTC
76922,2020-07-15 13:46:52 UTC,UserName1@example.com,"","","",1,Any old text2981,2020-07-15 13:46:52 UTC,2020-07-15 13:46:52 UTC
76921,2020-07-15 13:46:52 UTC,UserName1@example.com,"","","",1,Any old text2980,2020-07-15 13:46:52 UTC,2020-07-15 13:46:52 UTC
76920,2020-07-15 13:46:52 UTC,UserName1@example.com,"","","",1,Any old text2979,2020-07-15 13:46:52 UTC,2020-07-15 13:46:52 UTC
76919,2020-07-15 13:46:52 UTC,UserName1@example.com,"","","",1,Any old text2978,2020-07-15 13:46:52 UTC,2020-07-15 13:46:52 UTC
76918,2020-07-15 13:46:52 UTC,UserName1@example.com,"","","",1,Any old text2977,2020-07-15 13:46:52 UTC,2020-07-15 13:46:52 UTC
76917,2020-07-15 13:46:52 UTC,UserName1@example.com,"","","",1,Any old text2976,2020-07-15 13:46:52 UTC,2020-07-15 13:46:52 UTC
